danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.422,0.712,-5.907,0.1,0.273,0.0,0.051,0.471,78.454,2CvOqDpQIMw69cCzWqr5yr,261160
0.734,0.442,-8.432,0.0557,0.0594,1.63e-05,0.213,0.0973,117.967,2y5aJvzXhHPA94U5GFAcXe,245653
0.642,0.289,-9.918,0.0367,0.669,0.0,0.18,0.407,84.996,1XpYodsD36XN7ygcdF7mJJ,258373
0.72,0.791,-4.689,0.124,0.0384,0.0,0.157,0.756,102.071,6FE2iI43OZnszFLuLtvvmg,175427
0.378,0.638,-5.576,0.075,0.02,7.66e-05,0.0849,0.735,184.086,5rgy6ghBq1eRApCkeUdJXf,250627
0.722,0.851,-3.873,0.0639,0.0319,0.0,0.108,0.452,126.885,5yDL13y5giogKs2fSNf7sj,197936
0.604,0.787,-3.674,0.103,0.0679,0.15,0.127,0.301,126.062,2dOTkLZFbpNXrhc24CnTFd,245040
0.485,0.853,-3.192,0.0423,0.0057,0.00155,0.0842,0.304,130.054,3Cth8NLLkMNPXjw6aIMRon,180923
0.594,0.507,-6.141,0.0816,0.145,0.000871,0.132,0.137,159.729,19bX4zmC2zDben2ldhoRB3,218147
0.688,0.853,-5.814,0.0493,0.386,0.0,0.0862,0.743,103.993,4X5xWMINgGA6l0GoyYkMcr,268320
0.418,0.42,-6.444,0.0414,0.588,6.39e-05,0.11,0.184,84.094,5Nm9ERjJZ5oyfXZTECKmRt,172724
0.602,0.843,-4.831,0.0593,0.000688,5.27e-05,0.0682,0.526,128.003,190jyVPHYjAqEaOGmMzdyk,227987
0.673,0.758,-3.632,0.158,0.039,0.0,0.341,0.542,135.956,1obZSxOoO12yWkwY1kY72N,229507
0.778,0.547,-7.273,0.0489,0.346,0.000302,0.132,0.441,95.002,1mKXFLRA179hdOWQBwUk9e,242733
0.484,0.368,-7.784,0.0341,0.74,3.82e-05,0.118,0.142,92.923,5sra5UY6sD658OabHL3QtI,216480
0.56,0.825,-3.862,0.0379,0.323,0.0,0.161,0.268,94.931,4w1lzcaoZ1IC2K5TwjalRP,237493
0.527,0.318,-14.061,0.0498,0.509,0.0,0.125,0.523,76.183,1blShRPwUlmJlmU6yxbifG,233707
0.508,0.834,-6.205,0.0386,0.0183,0.0,0.0732,0.774,139.131,0GONea6G2XdnHWjNZd6zt3,216053
0.687,0.704,-7.923,0.0423,0.0745,0.0,0.0924,0.843,131.704,0TF3F5Lw5apoD1zvR8LikO,192867
